i,id,s,Ts_dis,scr,actCost,estCost,diff,timeSub,largest
2,1,"(1, 2)",1,2,941773.2525764726,879378.9517958732,62394.300780599355,63 milliseconds,0.0
2,2,"(1, 1)",1,1,148964.92586264128,84941.41159865266,64023.51426398862,83 milliseconds,0.0
2,3,"(2, 2)",2,2,781450.9710976598,687025.3602244756,94425.61087318417,105 milliseconds,0.0
2,4,"(2, 1)",2,1,128818.88025309978,31521.66801347662,97297.21223962316,114 milliseconds,1.0
3,1,"(1, 2)",1,2,881021.5811429364,879183.807918432,1837.7732245043153,76 milliseconds,0.0
3,2,"(1, 1)",1,1,108068.47058491819,69390.64655589523,38677.82402902296,94 milliseconds,1.0
3,3,"(2, 2)",2,2,737100.8705595296,735759.057062829,1341.8134967006044,117 milliseconds,0.0
3,4,"(2, 1)",2,1,93808.88295612791,63923.53994567982,29885.343010448094,111 milliseconds,0.0
4,1,"(1, 2)",1,2,821760.7291681691,818771.3036287436,2989.425539425458,89 milliseconds,0.0
4,2,"(1, 1)",1,1,70971.28083316055,67589.26956660567,3382.0112665548804,81 milliseconds,1.0
4,3,"(2, 2)",2,2,699275.4928736379,697852.7047127321,1422.788160905824,118 milliseconds,0.0
4,4,"(2, 1)",2,1,66370.62682889515,65154.55657633098,1216.0702525641755,103 milliseconds,0.0
5,1,"(1, 2)",1,2,768022.5426282658,764237.3054314214,3785.2371968444204,83 milliseconds,0.0
5,2,"(1, 1)",1,1,40776.24667834177,35244.48145253984,5531.76522580193,95 milliseconds,1.0
5,3,"(2, 2)",2,2,665695.5311254945,663786.6124383452,1908.9186871493002,125 milliseconds,0.0
5,4,"(2, 1)",2,1,42129.37226271888,39599.791898344316,2529.5803643745676,121 milliseconds,0.0
6,1,"(1, 2)",1,2,715328.1200101239,712886.936838388,2441.18317173596,89 milliseconds,0.0
6,2,"(1, 1)",1,1,22522.167891819663,17355.107003072306,5167.060888747357,86 milliseconds,0.0
6,3,"(2, 2)",2,2,632802.0363044833,632598.8764886279,203.15981585544068,106 milliseconds,0.0
6,4,"(2, 1)",2,1,25322.32774423736,19641.389418890056,5680.938325347302,111 milliseconds,1.0
7,1,"(1, 2)",1,2,661913.9688929078,661118.2060310952,795.7628618126037,93 milliseconds,0.0
7,2,"(1, 1)",1,1,9905.363861969723,6806.813567554814,3098.5502944149093,96 milliseconds,1.0
7,3,"(2, 2)",2,2,599691.7977636353,597228.3472510541,2463.4505125811556,103 milliseconds,0.0
7,4,"(2, 1)",2,1,15161.190527086823,12662.631081266874,2498.5594458199485,120 milliseconds,0.0
8,1,"(1, 2)",1,2,609736.6765146375,607885.3981152424,1851.2783993951743,90 milliseconds,0.0
8,2,"(1, 1)",1,1,3874.073770784487,0.0011319677147987068,3874.0726388167723,81 milliseconds,1.0
8,3,"(2, 2)",2,2,565475.0453079653,564999.5274093042,475.5178986610845,111 milliseconds,0.0
8,4,"(2, 1)",2,1,7441.4051627046765,7032.223657117611,409.18150558706566,127 milliseconds,0.0
