i,id,s,Ts_dis,scr,actCost,estCost,diff,timeSub,largest
19,1,"(1, 2)",1,2,6569.769736,6560.863086,8.906649797,62 milliseconds,0
19,2,"(2, 5)",2,5,1498.195251,1487.662247,10.53300476,54 milliseconds,0
19,3,"(1, 3)",1,3,1860.079703,1859.938608,0.141094699,70 milliseconds,0
19,4,"(1, 4)",1,4,90.56780015,88.93518584,1.632614311,71 milliseconds,0
19,5,"(2, 6)",2,6,3.65E-14,0.00030421,-0.00030421,49 milliseconds,0
19,6,"(2, 1)",2,1,22327.23891,22326.74769,0.491225649,60 milliseconds,0
19,7,"(1, 5)",1,5,1920.808931,1920.517684,0.291247335,75 milliseconds,0
19,8,"(1, 6)",1,6,186.0420637,185.8378049,0.204258878,64 milliseconds,0
19,9,"(2, 2)",2,2,29138.46324,29112.49716,25.96608434,62 milliseconds,0
19,10,"(2, 3)",2,3,2035.092898,1961.471415,73.62148337,58 milliseconds,1
19,11,"(2, 4)",2,4,2.36E-14,0.00018826,-0.00018826,50 milliseconds,0
19,12,"(1, 1)",1,1,4641.315144,4631.83406,9.481084379,80 milliseconds,0
20,1,"(1, 2)",1,2,6560.206247,6536.145856,24.06039056,72 milliseconds,0
20,2,"(2, 5)",2,5,1677.710911,1676.111318,1.599593287,58 milliseconds,0
20,3,"(1, 3)",1,3,1863.925199,1863.653468,0.271731534,72 milliseconds,0
20,4,"(1, 4)",1,4,99.06136303,98.78450422,0.276858806,74 milliseconds,0
20,5,"(2, 6)",2,6,2.39E-11,0.000333625,-0.000333625,50 milliseconds,0
20,6,"(2, 1)",2,1,22065.113,22063.53222,1.580775951,105 milliseconds,0
20,7,"(1, 5)",1,5,1924.942588,1924.757693,0.184894791,80 milliseconds,0
20,8,"(1, 6)",1,6,194.9452636,194.6369489,0.308314741,70 milliseconds,0
20,9,"(2, 2)",2,2,28716.60762,28700.63993,15.96769017,59 milliseconds,0
20,10,"(2, 3)",2,3,2178.541247,2104.849082,73.69216503,61 milliseconds,1
20,11,"(2, 4)",2,4,2.07E-13,0.000219945,-0.000219945,48 milliseconds,0
20,12,"(1, 1)",1,1,4623.965039,4623.70172,0.26331917,72 milliseconds,0
21,1,"(1, 2)",1,2,6543.201347,6535.753785,7.44756184,72 milliseconds,0
21,2,"(2, 5)",2,5,1823.829841,1822.077981,1.751860334,58 milliseconds,0
21,3,"(1, 3)",1,3,1872.579572,1872.528423,0.051148864,59 milliseconds,0
21,4,"(1, 4)",1,4,97.51238829,97.23162041,0.280767884,69 milliseconds,0
21,5,"(2, 6)",2,6,1.82E-13,0.00076166,-0.00076166,50 milliseconds,0
21,6,"(2, 1)",2,1,21808.56588,21807.30938,1.256498505,62 milliseconds,0
21,7,"(1, 5)",1,5,1929.720123,1929.036078,0.684045612,82 milliseconds,0
21,8,"(1, 6)",1,6,197.756587,197.4866358,0.269951212,66 milliseconds,0
21,9,"(2, 2)",2,2,28349.74725,28344.5673,5.179945627,58 milliseconds,0
21,10,"(2, 3)",2,3,2020.875229,1953.533633,67.34159529,62 milliseconds,1
21,11,"(2, 4)",2,4,7.22E-14,0.000427238,-0.000427238,73 milliseconds,0
21,12,"(1, 1)",1,1,4627.730596,4627.474209,0.25638764,70 milliseconds,0
22,1,"(1, 2)",1,2,6535.674501,6528.734262,6.940239695,64 milliseconds,0
22,2,"(2, 5)",2,5,2004.956494,2003.44206,1.514433941,57 milliseconds,0
22,3,"(1, 3)",1,3,1862.512828,1862.454834,0.057993807,54 milliseconds,0
22,4,"(1, 4)",1,4,94.32986259,94.22598431,0.103878274,69 milliseconds,0
22,5,"(2, 6)",2,6,8.94E-13,0.000166269,-0.000166269,49 milliseconds,0
22,6,"(2, 1)",2,1,21533.03829,21532.03663,1.001651009,68 milliseconds,0
22,7,"(1, 5)",1,5,1925.639059,1925.448336,0.190723159,65 milliseconds,0
22,8,"(1, 6)",1,6,195.0982924,194.8938771,0.204415317,65 milliseconds,0
22,9,"(2, 2)",2,2,27962.2124,27925.14222,37.07018141,65 milliseconds,0
22,10,"(2, 3)",2,3,2116.732585,2070.075497,46.65708797,62 milliseconds,1
22,11,"(2, 4)",2,4,1.48E-11,0.000133663,-0.000133663,53 milliseconds,0
22,12,"(1, 1)",1,1,4621.658386,4620.87058,0.787806023,61 milliseconds,0
23,1,"(1, 2)",1,2,6523.645454,6519.063518,4.581936006,65 milliseconds,0
23,2,"(2, 5)",2,5,2201.723751,2200.808024,0.915727575,49 milliseconds,0
