i,id,s,Ts_dis,scr,actCost,estCost,diff,timeSub,largest
2,1,"(1, 2)",1,2,941773.2525764726,879378.9517958732,62394.300780599355,71 milliseconds,0.0
2,2,"(1, 1)",1,1,148964.92586264128,84941.41159865266,64023.51426398862,76 milliseconds,0.0
2,3,"(2, 2)",2,2,781450.9710976598,687025.3602244756,94425.61087318417,110 milliseconds,0.0
2,4,"(2, 1)",2,1,128818.88025309978,31521.66801347662,97297.21223962316,113 milliseconds,1.0
3,1,"(1, 2)",1,2,941773.2525764726,776143.1544335446,165630.09814292798,94 milliseconds,0.0
3,2,"(1, 1)",1,1,148964.92586264128,0.026831070622028615,148964.89903157065,138 milliseconds,0.0
3,3,"(2, 2)",2,2,781450.9710976598,562805.9442532887,218645.0268443711,100 milliseconds,1.0
3,4,"(2, 1)",2,1,100623.94797722292,81268.45941604402,19355.488561178907,127 milliseconds,0.0
4,1,"(1, 2)",1,2,941773.2525764726,671412.4389154741,270360.8136609985,91 milliseconds,1.0
4,2,"(1, 1)",1,1,148964.92586264128,0.13164453712661986,148964.79421810416,88 milliseconds,0.0
4,3,"(2, 2)",2,2,706233.9357948757,704691.4758862791,1542.4599085965892,99 milliseconds,0.0
4,4,"(2, 1)",2,1,100623.94797722292,17975.810485182614,82648.13749204032,103 milliseconds,0.0
5,1,"(1, 2)",1,2,790412.1928772621,787003.1265077593,3409.066369502805,93 milliseconds,0.0
5,2,"(1, 1)",1,1,148964.92586264128,3.975500520209169e-6,148964.92585866578,86 milliseconds,1.0
5,3,"(2, 2)",2,2,706233.9357948757,664395.806640571,41838.12915430474,101 milliseconds,0.0
5,4,"(2, 1)",2,1,100623.94797722292,4.09199635300597e-6,100623.94797313093,106 milliseconds,0.0
6,1,"(1, 2)",1,2,790412.1928772621,718446.6593815923,71965.53349566984,87 milliseconds,0.0
6,2,"(1, 1)",1,1,34371.64473473,27783.73581728095,6587.908917449047,95 milliseconds,0.0
6,3,"(2, 2)",2,2,706233.9357948757,625510.5126379472,80723.4231569285,103 milliseconds,0.0
6,4,"(2, 1)",2,1,100623.94797722292,2.955602154114551e-5,100623.94794766691,103 milliseconds,1.0
7,1,"(1, 2)",1,2,790412.1928772621,652937.177313346,137475.01556391618,90 milliseconds,1.0
7,2,"(1, 1)",1,1,34371.64473473,2.0655901269728626e-5,34371.6447140741,95 milliseconds,0.0
7,3,"(2, 2)",2,2,706233.9357948757,577661.8711985775,128572.06459629827,116 milliseconds,0.0
7,4,"(2, 1)",2,1,19964.67542643843,14284.714575232212,5679.960851206217,109 milliseconds,0.0
8,1,"(1, 2)",1,2,627822.0513939721,625583.0334150026,2239.0179789694957,104 milliseconds,0.0
8,2,"(1, 1)",1,1,34371.64473473,5.8488929782723456e-5,34371.64467624107,77 milliseconds,0.0
8,3,"(2, 2)",2,2,706233.9357948757,527118.708957024,179115.2268378517,110 milliseconds,1.0
8,4,"(2, 1)",2,1,19964.67542643843,6.0475242946048376e-5,19964.675365963187,108 milliseconds,0.0
9,1,"(1, 2)",1,2,627822.0513939721,563212.0108956443,64610.04049832781,92 milliseconds,1.0
9,2,"(1, 1)",1,1,34371.64473473,1.4424604179028841e-5,34371.64472030539,96 milliseconds,0.0
9,3,"(2, 2)",2,2,536965.696699009,535224.8895553235,1740.8071436855244,106 milliseconds,0.0
9,4,"(2, 1)",2,1,19964.67542643843,1.459281169437945e-5,19964.675411845616,106 milliseconds,0.0
10,1,"(1, 2)",1,2,516408.9756750463,514575.8954660893,1833.0802089570207,77 milliseconds,0.0
10,2,"(1, 1)",1,1,34371.64473473,4.9627978593083145e-5,34371.64468510202,90 milliseconds,0.0
10,3,"(2, 2)",2,2,536965.696699009,497848.0268303845,39117.669868624536,110 milliseconds,1.0
10,4,"(2, 1)",2,1,19964.67542643843,5.6623513216924175e-5,19964.675369814915,121 milliseconds,0.0
11,1,"(1, 2)",1,2,516408.9756750463,453420.0285676974,62988.94710734894,81 milliseconds,1.0
11,2,"(1, 1)",1,1,34371.64473473,2.4353584674958635e-6,34371.64473229464,86 milliseconds,0.0
11,3,"(2, 2)",2,2,470707.8659732138,469906.4727726426,801.3932005711831,100 milliseconds,0.0
11,4,"(2, 1)",2,1,19964.67542643843,2.5023910348641954e-6,19964.675423936038,101 milliseconds,0.0
12,1,"(1, 2)",1,2,416502.17829469463,416362.87361679267,139.30467790196417,90 milliseconds,0.0
12,2,"(1, 1)",1,1,34371.64473473,5.699976671191504e-5,34371.64467773023,104 milliseconds,0.0
12,3,"(2, 2)",2,2,470707.8659732138,433056.07421727356,37651.79175594024,110 milliseconds,1.0
