i,id,s,Ts_dis,scr,actCost,estCost,diff,timeSub,largest
2,1,"(1, 2)",1,2,959614.3749029152,730378.4258498494,229235.94905306585,66 milliseconds,1.0
2,2,"(1, 1)",1,1,649943.6268620514,497594.60770382494,152349.0191582265,69 milliseconds,0.0
2,3,"(1, 3)",1,3,321119.6389113314,214450.52793760214,106669.11097372929,64 milliseconds,0.0
2,4,"(1, 6)",1,6,6970.179301160371,5.18520817476815e-5,6970.179249308289,65 milliseconds,0.0
2,5,"(1, 4)",1,4,1.4845615912988505e-8,5.4271857024773275e-5,-5.4257011408860285e-5,56 milliseconds,0.0
2,6,"(1, 5)",1,5,146716.58705216157,88536.29779956632,58180.28925259525,68 milliseconds,0.0
3,1,"(1, 2)",1,2,894648.1546691861,887148.6918413711,7499.462827814976,77 milliseconds,0.0
3,2,"(1, 1)",1,1,620699.5291900416,324047.5349575644,296651.9942324772,72 milliseconds,1.0
3,3,"(1, 3)",1,3,272984.7747837382,47276.88717934859,225707.8876043896,80 milliseconds,0.0
3,4,"(1, 6)",1,6,3642.914146442447,0.22238130192924477,3642.691765140518,69 milliseconds,0.0
3,5,"(1, 4)",1,4,9.0060555723529e-14,0.3404211988852083,-0.34042119888511824,63 milliseconds,0.0
3,6,"(1, 5)",1,5,129980.47716446767,16388.99913670257,113591.4780277651,73 milliseconds,0.0
4,1,"(1, 2)",1,2,804889.2878414727,781075.4186638182,23813.869177654502,81 milliseconds,0.0
4,2,"(1, 1)",1,1,565925.1420188746,564934.2850937821,990.8569250925211,76 milliseconds,0.0
4,3,"(1, 3)",1,3,224816.56060164125,0.00010720040916900538,224816.56049444084,75 milliseconds,1.0
4,4,"(1, 6)",1,6,634.2499942011376,7.874654264833587e-5,634.249915454595,71 milliseconds,0.0
4,5,"(1, 4)",1,4,5.161503621341732e-12,6.129575314096875e-5,-6.129574797946514e-5,64 milliseconds,0.0
4,6,"(1, 5)",1,5,104988.25801425742,9.138255820590911e-5,104988.25792287485,78 milliseconds,0.0
5,1,"(1, 2)",1,2,722792.0701976256,701048.697138572,21743.373059053556,92 milliseconds,0.0
5,2,"(1, 1)",1,1,513115.31796536985,511410.4517440336,1704.8662213362404,79 milliseconds,0.0
5,3,"(1, 3)",1,3,162985.76397682747,162686.04552781506,299.7184490124055,76 milliseconds,0.0
5,4,"(1, 6)",1,6,9.177047874433557,7.337952486260948e-10,9.177047873699761,73 milliseconds,0.0
5,5,"(1, 4)",1,4,8.395231390046798e-9,9.019093694739676e-10,7.49332202057283e-9,64 milliseconds,0.0
5,6,"(1, 5)",1,5,80054.94841311604,8.184384067670992e-10,80054.94841311523,81 milliseconds,1.0
6,1,"(1, 2)",1,2,651956.3993183196,613850.3055073104,38106.093811009196,84 milliseconds,1.0
6,2,"(1, 1)",1,1,459160.6491530073,455083.1250928957,4077.5240601116093,86 milliseconds,0.0
6,3,"(1, 3)",1,3,140643.3322986099,139315.21547408638,1328.1168245235167,78 milliseconds,0.0
6,4,"(1, 6)",1,6,1.937533293391573e-8,4.286817134852508e-5,-4.2848796015591164e-5,69 milliseconds,0.0
6,5,"(1, 4)",1,4,1.9620401998719303e-11,6.692364717916873e-5,-6.692362755876674e-5,63 milliseconds,0.0
6,6,"(1, 5)",1,5,62324.48680416466,60887.831474222694,1436.6553299419684,75 milliseconds,0.0
7,1,"(1, 2)",1,2,582398.7583517367,581468.9273139682,929.831037768512,79 milliseconds,0.0
7,2,"(1, 1)",1,1,406454.2091131764,397675.420487552,8778.78862562438,79 milliseconds,1.0
7,3,"(1, 3)",1,3,117885.06003294353,114223.66646605854,3661.393566884988,76 milliseconds,0.0
7,4,"(1, 6)",1,6,5.23470767704096e-9,0.04886867228099544,-0.04886866704628776,63 milliseconds,0.0
7,5,"(1, 4)",1,4,9.659417301448998e-10,0.051591669428137824,-0.051591668462196094,61 milliseconds,0.0
7,6,"(1, 5)",1,5,46553.53538787484,41233.02607234659,5320.509315528252,80 milliseconds,0.0
8,1,"(1, 2)",1,2,512941.9856039366,509438.1672139597,3503.818389976921,80 milliseconds,0.0
8,2,"(1, 1)",1,1,355169.0768257985,354450.83309268183,718.2437331166584,112 milliseconds,0.0
8,3,"(1, 3)",1,3,94752.19878621762,87874.13372944757,6878.06505677005,82 milliseconds,0.0
8,4,"(1, 6)",1,6,6.008281535924974e-15,0.00017437130795673042,-0.00017437130795072215,62 milliseconds,0.0
8,5,"(1, 4)",1,4,5.07633449966055e-11,0.00013132439895042876,-0.00013132434818708376,62 milliseconds,0.0
8,6,"(1, 5)",1,5,32411.901227509257,21268.25610669988,11143.645120809379,79 milliseconds,1.0
9,1,"(1, 2)",1,2,443140.1748207987,436008.19718769856,7131.977633100119,83 milliseconds,0.0
9,2,"(1, 1)",1,1,305842.7059752498,301614.17995740403,4228.526017845783,88 milliseconds,0.0
9,3,"(1, 3)",1,3,72148.81731126658,60067.23298953931,12081.58432172727,76 milliseconds,1.0
9,4,"(1, 6)",1,6,2.302719270238619e-9,0.02865091169398069,-0.02865090939126142,62 milliseconds,0.0
9,5,"(1, 4)",1,4,5.058654635018133e-10,0.029716665105874854,-0.02971666460000939,69 milliseconds,0.0
9,6,"(1, 5)",1,5,19421.150662161548,18523.4714561576,897.6792060039479,77 milliseconds,0.0
10,1,"(1, 2)",1,2,374237.7567751673,360569.3117163895,13668.445058777812,82 milliseconds,1.0
10,2,"(1, 1)",1,1,258103.75756453708,247187.21829713313,10916.539267403947,78 milliseconds,0.0
10,3,"(1, 3)",1,3,50925.714898758175,50567.59768671027,358.1172120479023,93 milliseconds,0.0
10,4,"(1, 6)",1,6,3.172677704830915e-14,0.00012508067374490775,-0.000125080673713181,63 milliseconds,0.0
10,5,"(1, 4)",1,4,3.7532727607556625e-13,0.00011562834142148521,-0.00011562834104615793,64 milliseconds,0.0
10,6,"(1, 5)",1,5,9650.204336228906,4280.4277963128625,5369.7765399160435,82 milliseconds,0.0
11,1,"(1, 2)",1,2,309536.66719722975,307808.09715978074,1728.5700374490116,84 milliseconds,0.0
11,2,"(1, 1)",1,1,212989.7810521855,191766.13795553977,21223.64309664574,80 milliseconds,1.0
11,3,"(1, 3)",1,3,30413.827545673965,27978.382849838665,2435.4446958353,90 milliseconds,0.0
11,4,"(1, 6)",1,6,7.858145666522507e-9,0.00016037186105868914,-0.0001603640029130226,62 milliseconds,0.0
11,5,"(1, 4)",1,4,8.5934772239453e-14,0.0001664452929521797,-0.0001664452928662449,67 milliseconds,0.0
11,6,"(1, 5)",1,5,4137.961387888616,0.0002933424315194638,4137.9610945461845,91 milliseconds,0.0
12,1,"(1, 2)",1,2,246752.14388593927,240331.5273749768,6420.616510962456,79 milliseconds,0.0
12,2,"(1, 1)",1,1,170685.92118921055,167738.12750765815,2947.793681552401,80 milliseconds,0.0
12,3,"(1, 3)",1,3,13752.961728385595,3820.06648794004,9932.895240445556,91 milliseconds,1.0
12,4,"(1, 6)",1,6,1.6251155552777156e-15,0.0065878985402460215,-0.006587898540244396,64 milliseconds,0.0
12,5,"(1, 4)",1,4,3.437130314720124e-11,0.007104247906672667,-0.007104247872301363,65 milliseconds,0.0
12,6,"(1, 5)",1,5,2537.4224221845434,0.011532808611554519,2537.4108893759317,90 milliseconds,0.0
13,1,"(1, 2)",1,2,186612.72441598994,170673.28213459445,15939.442281395488,85 milliseconds,1.0
13,2,"(1, 1)",1,1,130393.96783608111,121017.95275530744,9376.015080773665,82 milliseconds,0.0
13,3,"(1, 3)",1,3,7439.155445606139,0.0009333613014429278,7439.154512244838,84 milliseconds,0.0
