i,id,s,Ts_dis,scr,actCost,estCost,diff,timeSub,largest
64,7,"(1, 5)",1,5,1974.5193418137646,1949.3484986402104,25.170843173554204,62 milliseconds,0.0
64,8,"(1, 6)",1,6,286.66392003759023,155.41522016643313,131.2486998711571,68 milliseconds,0.0
64,9,"(2, 2)",2,2,25332.693900341954,25105.538679562495,227.15522077945934,60 milliseconds,1.0
64,10,"(2, 3)",2,3,2308.6183736607977,2305.5690768358263,3.0492968249714067,54 milliseconds,0.0
64,11,"(2, 4)",2,4,5.946731378611933e-10,6.247327116429258e-5,-6.247267649115471e-5,46 milliseconds,0.0
64,12,"(1, 1)",1,1,4618.815685457635,4588.311368087124,30.504317370510762,61 milliseconds,0.0
65,1,"(1, 2)",1,2,6536.687321411988,6433.742420177865,102.94490123412288,75 milliseconds,0.0
65,2,"(2, 5)",2,5,6234.618401542528,5991.151938905955,243.46646263657294,54 milliseconds,1.0
65,3,"(1, 3)",1,3,1950.8792124011882,1868.4433995077009,82.43581289348731,65 milliseconds,0.0
65,4,"(1, 4)",1,4,160.04947228983158,26.570565799599947,133.47890649023162,67 milliseconds,0.0
65,5,"(2, 6)",2,6,2.3246081950094543e-11,0.00020225360359050243,-0.00020225358034442047,48 milliseconds,0.0
65,6,"(2, 1)",2,1,19400.314215341452,19405.085125276237,-4.770909934784868,65 milliseconds,0.0
65,7,"(1, 5)",1,5,1974.5193418137646,1956.431190743913,18.08815106985162,60 milliseconds,0.0
65,8,"(1, 6)",1,6,286.66392003759023,156.6523295532243,130.01159048436594,68 milliseconds,0.0
65,9,"(2, 2)",2,2,25206.5243372716,25062.38389886077,144.1404384108282,71 milliseconds,0.0
65,10,"(2, 3)",2,3,2308.6183736607977,2272.415155078755,36.20321858204261,61 milliseconds,0.0
65,11,"(2, 4)",2,4,5.946731378611933e-10,0.0001281900545516093,-0.00012818945987847145,49 milliseconds,0.0
65,12,"(1, 1)",1,1,4618.815685457635,4593.726681130034,25.089004327600378,58 milliseconds,0.0
